n,id,username,date,content,url
45,1410019669281587211,Al3_Verde,2021-06-29 23:37:40+00:00,"Acá en Cobán  el COVID-19 anda desatado o más bien son las personas que se desataron 😵‍💫 
En menos de una semana ya sé de 8 casos positivos",https://twitter.com/Al3_Verde/status/1410019669281587211
46,1410019291265634311,AngelMa90849373,2021-06-29 23:36:10+00:00,Hoy se va a sobrepasar los 100 pacientes en sala covid 19 del Hospital Gabriela Alvarado Danli! Dios nos guarde!,https://twitter.com/AngelMa90849373/status/1410019291265634311
47,1410019235066224646,CesarHeine,2021-06-29 23:35:57+00:00,"Quiero informales que a raíz de presentar algunos síntomas, me hisopé y el resultado fue DETECTABLE para COVID-19. Me encuentro en perfectas condiciones de salud, cumpliendo con el aislamiento y las indicaciones de salud.Gracias por sus msj de aliento. Todo estará bien!#Cuídense",https://twitter.com/CesarHeine/status/1410019235066224646
48,1410019186731065352,chitreano100,2021-06-29 23:35:45+00:00,"El problema del Covid 19 no es chitré, es monagrillo, cuarentena total toda la semana para ellos.",https://twitter.com/chitreano100/status/1410019186731065352
49,1410019152119615493,SofaCru81628586,2021-06-29 23:35:37+00:00,No hay interes del gobierno del estsdo en apoyar a quienes  perciben un  #SalarioNoAlcanzaEnQRoo para sus necesidades de salud en caso de que se contagien del COVID-19.,https://twitter.com/SofaCru81628586/status/1410019152119615493
50,1410019037854195722,martinmenem2010,2021-06-29 23:35:10+00:00,"Permitir el ingreso al país de solo 600 personas por día, por la Cepa DELTA del #coronavirus es un DELIRIO.

El mundo ya superó lo peor...y nosotros aca ENCERRADOS  llegando a 100.000 muertos de #COVID19",https://twitter.com/martinmenem2010/status/1410019037854195722
51,1410019014588391429,IronFace14,2021-06-29 23:35:04+00:00,"Se cae un avión, tornado, almendron mata a personas en el muro del malecón, el limón como base de todo, coyuntura, covid-19,hay que ordenar el ordenamiento y ahora para colmo sismos
Todo esto comenzó desde que cierta persona es presidente porfa algún babalawo le haga una limpieza",https://twitter.com/IronFace14/status/1410019014588391429
52,1410018918475997186,vaIenrodr,2021-06-29 23:34:41+00:00,Quiero que se acabe eso llamado pandemia de COVID-19 🙃,https://twitter.com/vaIenrodr/status/1410018918475997186
53,1410018907348299776,EdnaJaramillotv,2021-06-29 23:34:39+00:00,"""Todo el país, ha sido testigo de cómo se han seguido desarrollando actividades clandestinas, que van en contra de la salud pública y de sí mismas"", Luis Francisco Sucre, ministro de Salud. #Panamá #COVID19 #29Junio",https://twitter.com/EdnaJaramillotv/status/1410018907348299776
54,1410018893884760071,robertfelipe22,2021-06-29 23:34:35+00:00,"En los últimos 22 años, los niveles de pobreza extrema venían disminuyendo, pero según informe publicado recientemente por UNWOMEN  revela que la pandemia sumirá a 96 millones de personas en la pobreza extrema en el 2021. 

#COVID19
#pandemia
#ToqueDeQueda
#Economia",https://twitter.com/robertfelipe22/status/1410018893884760071
55,1410018823336517634,KristinaComici,2021-06-29 23:34:19+00:00,Tercer ascenso exponencial y ni el 10% de nuestra población está vacunada 🤦🏾‍♀️ #COVID19 #vaccine,https://twitter.com/KristinaComici/status/1410018823336517634
56,1410018534986559495,FlavioBuccino,2021-06-29 23:33:10+00:00,"Los medios argentinos son un desastre en el tratamiento del COVID19!
Desde hace mucho tiempo confunden una pandemia mundial que además muta día a día con una epidemia local en Argentina.
El gobierno no ayuda.
La política la complica.
Nada bueno puede salir de este combo.
En fin.",https://twitter.com/FlavioBuccino/status/1410018534986559495
57,1410018507354513411,falar_2,2021-06-29 23:33:03+00:00,"""Las secuelas que deja el virus covid19 es más peligrosa que la misma enfermedad, por eso, si eres positivo de covid19 y terminas el ciclo de aislamiento, cuídate los siguientes 30 días con tratamientos médicos y terapias...""",https://twitter.com/falar_2/status/1410018507354513411
58,1410018386961211396,LaHogueraMx,2021-06-29 23:32:34+00:00,"La UNAM anunció que el próximo semestre iniciará clases a distancia debido a la pandemia de Covid-19. La Universidad precisó que los colegios podrán solicitar su regreso a las aulas hasta después de tres semanas consecutivas en semáforo verde.
@UNAM_MX | @SEP_mx",https://twitter.com/LaHogueraMx/status/1410018386961211396
59,1410018185127075846,leocarp77,2021-06-29 23:31:46+00:00,Día 2 con Covid 19 ya quiero el alta para tomarme una birrita,https://twitter.com/leocarp77/status/1410018185127075846
60,1410018135432904705,ajpernia,2021-06-29 23:31:35+00:00,"El covid-19 se ha llevado hoy a una muy apreciada y recordada amiga, Carolina Hidalgo. No puedo olvidar aquellos días juntos en Reporte de la Economía. La conocí cuando ambos estudiábamos en la UCV. Que descanse en paz.",https://twitter.com/ajpernia/status/1410018135432904705
61,1410018106722897928,Geovannella,2021-06-29 23:31:28+00:00,"No se qué les hace pensar que les vamos a confiar nuestro tesoro más preciado con los altos casos de contagio por covid19 en el Valle. !Es absurdo! #NOALREGRESOACLASES
@Mineducacion, @SoyOscarEscobar, @AlcaldiaPalmira, @Sutev_Valle",https://twitter.com/Geovannella/status/1410018106722897928
62,1410017937054998532,malejabedoya12,2021-06-29 23:30:47+00:00,Esta incertidumbre al esperar resultados post prueba COVID-19 son desesperantes.   🙁😔😩🥺,https://twitter.com/malejabedoya12/status/1410017937054998532
63,1410017906151337984,VanessaFreireV5,2021-06-29 23:30:40+00:00,"La #LeyApoyoHumanitario en su art 25 habla  de estabilidad laboral a quienes trabajaron en primera línea por el Covid 19; sin embargo siguen existiendo despidos y exclusión al personal de salud, a TODOS quienes hacen salud.
#CumplimientoALaLey
#EstabilidadLaboral",https://twitter.com/VanessaFreireV5/status/1410017906151337984
64,1410017870042603524,azucenau,2021-06-29 23:30:31+00:00,"Hugo López Gatell aseguró que no es medio millón de defunciones por #COVID19 en #México y que todos los medios están ""nadando sincronizado"" contra él 

Estoy conversando con la Dra. @lximenezfyvie en #AzucenaxFórmula",https://twitter.com/azucenau/status/1410017870042603524
65,1410017731240415232,ergoroca,2021-06-29 23:29:58+00:00,"El otro día murió el papá de un cuate al que estaba asesorando sobre el covid19 y triste, pero sé que no podía hacer mucho. Hoy me ha dicho una paciente algo onda ""gracias por salvarme la vida"" y también sé que no hice mucho.
Una de cal y una de arena en esto de la lejanía.",https://twitter.com/ergoroca/status/1410017731240415232
66,1410017601741336577,alexandercal30,2021-06-29 23:29:27+00:00,"#Covid19 en #Panamá:
7 Muertes para totalizar 6,536
1,249 Nuevos Casos para un total de 402,581
14,244 Pruebas Nuevas
8.7% Positividad
383,656 Recuperados
12,389 Casos Activos
683 Hospitalizados (575 en sala y 108 en intensivos)
11,706 Aislados (11,341 en casa y 365 en hoteles)",https://twitter.com/alexandercal30/status/1410017601741336577
67,1410017600197779458,MrActSC1,2021-06-29 23:29:27+00:00,"El covid19 ha llegado a propagarse de manera muy preocupante, es necesario tomar conciencia y cuidarse, prevenir...,  🙏🏽😷",https://twitter.com/MrActSC1/status/1410017600197779458
68,1410017555591352327,DIAZNORMANDO,2021-06-29 23:29:16+00:00,Alerta en Cuba: El país supera por primera vez los 3.000 casos diarios de COVID-19,https://twitter.com/DIAZNORMANDO/status/1410017555591352327
69,1410017499819614215,Francis54088534,2021-06-29 23:29:03+00:00,"Segunda vacuna contra el covid 19 
me pongo hoy a las 11 de la mañana. 

Dia libre justificado. The Thursday return to the property register , return to labor",https://twitter.com/Francis54088534/status/1410017499819614215
70,1410017410770509826,BigNeto,2021-06-29 23:28:42+00:00,"Con solo 195 decesos (?) reportados en las últimas 24 horas, el reporte oficial alcanza 232 mil 803 muertes por COVID-19.",https://twitter.com/BigNeto/status/1410017410770509826
71,1410017410715955202,JhonyMosquera,2021-06-29 23:28:42+00:00,"1,249 nuevos casos COVID-19 en Panamá 🇵🇦",https://twitter.com/JhonyMosquera/status/1410017410715955202
72,1410017195443228673,PedrazaNanita,2021-06-29 23:27:50+00:00,"NO ME CREAS POR IMMUNOCAL 
INVESTIGA Y SALVA VIDAS! 
#COVID19",https://twitter.com/PedrazaNanita/status/1410017195443228673
73,1410017038400118788,AgenciaSien,2021-06-29 23:27:13+00:00,"Alrededor de 15 personas que desempeñan sus funciones en el filtro sanitario del acceso cuatro del #PuertoIndustrial “Isla del Carmen” dieron positivo a #Covid_19, la mayoría de ellos son elementos de la Policía Estatal Preventiva (PEP). #DeCarmen",https://twitter.com/AgenciaSien/status/1410017038400118788
74,1410016658102624261,EdnaJaramillotv,2021-06-29 23:25:42+00:00,"1.249 casos nuevos y 7 defunciones, reporta el Ministerio de Salud (MINSA) para hoy martes, 29 de junio. #Panamá #COVID19 #29Junio",https://twitter.com/EdnaJaramillotv/status/1410016658102624261
75,1410016366502031362,Guille70190889,2021-06-29 23:24:33+00:00,"Esta basura me bloqueo, este pregonador de tragedias y mentiras es de lo peor que ha producido nuestro país #COVID19",https://twitter.com/Guille70190889/status/1410016366502031362
76,1410016086653874182,damifarm,2021-06-29 23:23:26+00:00,#Argentina #Covid19 El Gobierno de @alferdez no quiere denominar varados a los más de 40.000 compatriotas en exterior. ¿Como los llamaría? Ingresos Reprogramados. Vergonzóso e Inconstitucional lo que están haciendo.,https://twitter.com/damifarm/status/1410016086653874182
77,1410016052931616772,DiarioredesA,2021-06-29 23:23:18+00:00,"#coronavirus #COVID19 
La titular de la Dirección Nacional de Migraciones @florcarignanook dijo que ""no hay 45.000 varados en el exterior"". Y agregó que ""ése es el número de argentinos que salieron del país en los últimos cuatro meses"".",https://twitter.com/DiarioredesA/status/1410016052931616772
78,1410016032656347146,Paulaflores05,2021-06-29 23:23:13+00:00,"Situación #COVID19 #Panamá 29/6/21

402,581 Acumulado (1,249 Nuevos)
12,389 Activos
6,536 Fallecidos (7 Últimas 24 horas)1.6%
108 UCI
575 Sala 
683 Hospitalizados 
11,341 Casa/365 Hoteles/Aislamiento Domiciliario
383,656 Recuperados
14,244 Nuevas Pruebas 8.7% positividad",https://twitter.com/Paulaflores05/status/1410016032656347146
79,1410015908853080067,aalberterrasa1,2021-06-29 23:22:44+00:00,"ya tengo cita para la vacuna del covid , ósea ESTOY GRITANDO
#Covid_19",https://twitter.com/aalberterrasa1/status/1410015908853080067
80,1410015268340998146,realidad_int,2021-06-29 23:20:11+00:00,"El líder norcoreano Kim Jong Un sobre COVID-19: La negligencia condujo a un ""grave incidente que creó una gran crisis para la seguridad del país y la gente"".",https://twitter.com/realidad_int/status/1410015268340998146
81,1410015221255528452,emeequis,2021-06-29 23:20:00+00:00,"#ULTIMAHORA Estas son las cifras #COVID19 en México:

• 2,513,164 casos (5,711 más que ayer) 
• 232,803 defunciones (195 más que ayer)
• 35,288 casos activos estimados
• 1,997,381 personas recuperadas",https://twitter.com/emeequis/status/1410015221255528452
82,1410014805751107586,Geovannella,2021-06-29 23:18:21+00:00,"#NOALREGRESOALCOLEGIO Con los altos números de contagios y de fallecidos en Palmira Valle del Cauca a causa del Covid19, ni siquiera hay vacunas y nadie garantiza que va a responder por la muerte de un menor contagiado en clases presenciales. @Mineducacion, @AlcaldiaPalmira",https://twitter.com/Geovannella/status/1410014805751107586
83,1410014576599572481,jdiego23,2021-06-29 23:17:26+00:00,"Por lo visto, julio viene con toda!

#Covid19",https://twitter.com/jdiego23/status/1410014576599572481
84,1410014537793904646,ReyesHerrera63,2021-06-29 23:17:17+00:00,Un día más y ya van..tres semanas ..fiesta a puerta cerrada CardenalBuenoMonreal28-30 la #PolicíaSevilla no lo coge muchos casos de #COVID19 de ahí y el @E112Andalucia que no es competencia suya ¿alguien en Sevilla hace cumplir la ley?@EmergenciasSev @Ayto_Sevilla#descanso,https://twitter.com/ReyesHerrera63/status/1410014537793904646
85,1410014458827755522,DiarioredesA,2021-06-29 23:16:58+00:00,"#coronavirus #COVID19 #Argentina 
Parte oficial: confirmaron 526 muertes y 24.065 contagios en las últimas 24 horas en nuestro país.",https://twitter.com/DiarioredesA/status/1410014458827755522
86,1410014266766340102,AnaClaudiaRoche,2021-06-29 23:16:12+00:00,En el mes de junio de 2021 murieron de Covid-19 la misma cantidad de personas que de marzo a septiembre de 2020: alrededor de 16.000. Un dato.,https://twitter.com/AnaClaudiaRoche/status/1410014266766340102
87,1410014153792757763,palensuardy,2021-06-29 23:15:45+00:00,Al parecer el #COVID19 vino para quedarse. #vacunate para eliminar el #ToqueDeQuedaRD de nuestro sistema.,https://twitter.com/palensuardy/status/1410014153792757763
88,1410014049186848771,ElMarkovian,2021-06-29 23:15:20+00:00,"Colombia reporta 25.880 nuevos casos por covid-19, este 29 de junio: el índice se mantiene vivo",https://twitter.com/ElMarkovian/status/1410014049186848771
89,1410014006136475655,valenzuelagabi,2021-06-29 23:15:10+00:00,#Argentina se acercó hoy a los 94 mil muertos. El ministerio de Salud reportó 526 víctimas fatales en las últimas 24 horas y hoy el número de casos llegó a 24.065 #COVID19,https://twitter.com/valenzuelagabi/status/1410014006136475655
90,1410013807460728836,Yohanmatos,2021-06-29 23:14:23+00:00,Por una parte Criticamos a EEUU por sus bloqueos como forma de coacción!! Y x por otra el MPPServPenitenciario le para el sueldo a los trabajadores que tienen covid-19! 😤😤😤😤,https://twitter.com/Yohanmatos/status/1410013807460728836
91,1410013712975552512,Expresoec,2021-06-29 23:14:00+00:00,El Gobierno de los Estados Unidos anunció la donación de dos millones de dosis de la vacuna Pfizer COVID-19 al Ecuador. La primera entrega llegará esta semana.,https://twitter.com/Expresoec/status/1410013712975552512
92,1410013707229351941,marcelavazquezc,2021-06-29 23:13:59+00:00,"Se están incrementando los casos de COVID 19 en la madre patria, en pleno verano con una vacunación lenta y con mucha grilla...🥺  predomina la variante DELTA.",https://twitter.com/marcelavazquezc/status/1410013707229351941
93,1410012781324218370,ivarroyo48,2021-06-29 23:10:18+00:00,"La Unión Africana hizo un pedido hoy durante la reunión del G20 para aumentar de forma urgente la capacidad de producción de vacunas contra la Covid-19 en el continente africano. De las cerca de 3 billones de vacunas aplicadas en el mundo, menos del 2% fueron en África.",https://twitter.com/ivarroyo48/status/1410012781324218370
